review,sentiment
The movie was absolutely fantastic! Great performances by the cast.,positive
I didn't like the movie at all. The plot was boring and predictable.,negative
An amazing experience! Stunning visuals and a compelling story,positive
Very disappointing. It felt too long and the acting was weak.,negative
One of the best movies I've seen in years. Highly recommend!,positive
Total waste of time. The storyline was bad and the pacing was slow.,negative
"Surprisingly good. A fun, entertaining movie with great humor.",positive
Not worth watching. The movie had no real substance.,negative
An excellent movie! It kept me on the edge of my seat.,positive
The worst movie I have ever seen. Terrible acting and plot.,negative
